Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guam,Western Pacific,39610,23469.116,453,268.405,90,340,201.452,-1,-0.593,0
Burundi,Africa,38440,323.276,132,1.11,34,15,0.126,0,0,0
Togo,Africa,36907,445.805,36,0.435,5,272,3.286,0,0,0
Mayotte,Africa,36839,13503.29,94,34.456,39,187,68.545,0,0,0
Guinea,Africa,36459,277.618,24,0.183,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,33843,31698.293,26,24.352,0,212,198.565,0,0,0
United Republic of Tanzania,Africa,33797,56.579,24,0.04,0,800,1.339,0,0,0
Bahamas,Americas,33242,8453.276,31,7.883,4,788,200.384,2,0.509,1
Lesotho,Africa,32880,1534.836,105,4.901,0,697,32.536,0,0,0
Haiti,Americas,30511,267.581,17,0.149,0,827,7.253,0,0,0
Mali,Africa,30467,150.448,27,0.133,3,727,3.59,0,0,0
Isle of Man,Europe,27530,32376.047,1922,2260.326,307,82,96.434,1,1.176,1
Benin,Africa,26593,219.356,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26410,166.171,0,0,0,1361,8.563,0,0,0
Bhutan,South-East Asia,24316,3151.341,3006,389.576,502,9,1.166,0,0,0
Congo,Africa,24062,436.057,3,0.054,0,384,6.959,1,0.018,0
Saint Lucia,Americas,22905,12473.656,35,19.06,13,365,198.773,0,0,0
Timor-Leste,South-East Asia,22817,1730.599,14,1.062,4,130,9.86,0,0,0
Burkina Faso,Africa,20813,99.568,0,0,0,379,1.813,0,0,0
Guernsey,Europe,20785,32240.802,2936,4554.197,0,31,48.086,0,0,0
Cayman Islands,Americas,20336,30943.396,0,0,0,23,34.997,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17184,153.515,91,0.813,18,138,1.233,0,0,0
Gibraltar,Europe,16660,49449.408,497,1475.171,9,101,299.783,0,0,0
Equatorial Guinea,Africa,15999,1140.354,100,7.128,0,183,13.044,0,0,0
Liechtenstein,Europe,15853,40914.135,681,1757.555,0,79,203.887,0,0,0
United States Virgin Islands,Americas,15606,14944.697,31,29.686,10,110,105.339,0,0,0
Djibouti,Eastern Mediterranean,15578,1576.721,6,0.607,0,189,19.13,0,0,0
San Marino,Europe,15125,44566.563,249,733.691,0,112,330.014,0,0,0
Central African Republic,Africa,14339,296.888,12,0.248,0,113,2.34,0,0,0
Nicaragua,Americas,14222,214.686,52,0.785,0,229,3.457,1,0.015,0
Grenada,Americas,13967,12412.573,46,40.881,13,218,193.738,1,0.889,0
Bermuda,Americas,12308,19764.585,247,396.641,77,126,202.335,1,1.606,0
Gambia,Africa,11986,495.972,8,0.331,8,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,45,79.264,18,21,36.99,1,1.761,0
Yemen,Eastern Mediterranean,11802,39.57,5,0.017,0,2142,7.182,2,0.007,0
Dominica,Americas,11777,16358.989,103,143.073,0,63,87.511,1,1.389,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,10997,19106.277,363,630.679,12,32,55.597,1,1.737,1
Monaco,Europe,10431,26579.859,416,1060.035,62,54,137.601,0,0,0
Solomon Islands,Western Pacific,10426,1517.869,668,97.251,222,129,18.78,2,0.291,1
Saint Martin,Americas,9939,25709.408,31,80.188,0,44,113.816,0,0,0
Eritrea,Africa,9723,274.164,1,0.028,0,103,2.904,0,0,0
Sint Maarten,Americas,9657,22519.938,28,65.295,0,86,200.55,1,2.332,0
Niger,Africa,8799,36.35,11,0.045,0,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8332,7510.366,4,3.606,2,106,95.547,0,0,0
Guinea-Bissau,Africa,8125,412.855,29,1.474,1,169,8.587,0,0,0
Comoros,Africa,8078,928.932,6,0.69,0,160,18.399,0,0,0
Sierra Leone,Africa,7674,96.202,7,0.088,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7482,7640.229,12,12.254,0,135,137.855,0,0,0
Liberia,Africa,7397,146.253,0,0,0,294,5.813,0,0,0
Chad,Africa,7288,44.369,19,0.116,0,190,1.157,0,0,0
Bonaire,Americas,7191,34382.022,241,1152.283,0,28,133.875,0,0,0
British Virgin Islands,Americas,6104,20187.188,0,0,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5943,2711.73,5,2.281,0,73,33.309,1,0.456,0
Turks and Caicos Islands,Americas,5888,15207.397,14,36.159,14,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5548,10430.14,7,13.16,0,42,78.959,0,0,0
Tonga,Western Pacific,4872,4609.49,2342,2215.81,335,2,1.892,0,0,0
Palau,Western Pacific,3976,21976.564,33,182.401,0,6,33.164,0,0,0
Saint Barthélemy,Americas,3805,38492.666,42,424.886,0,4,40.465,0,0,0
Kiribati,Western Pacific,3061,2562.6,20,16.744,1,13,10.883,0,0,0
Anguilla,Americas,2633,17550.993,39,259.965,0,9,59.992,0,0,0
American Samoa,Western Pacific,2262,4098.049,1199,2172.22,258,1,1.812,1,1.812,1
Saint Pierre and Miquelon,Americas,1930,33304.573,577,9956.859,0,1,17.256,0,0,0
Vanuatu,Western Pacific,1711,557.066,1231,400.788,283,0,0,0,0,0
Cook Islands,Western Pacific,1158,6593.031,554,3154.179,98,0,0,0,0,0
Samoa,Western Pacific,796,401.181,747,376.486,126,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,627,19974.514,142,4523.734,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saba,Americas,221,11433.006,3,155.199,0,0,0,0,0,0
Montserrat,Americas,174,3480.696,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,119,3416.595,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,5,309.023,4,247.219,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
