Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/10/2010,21:33:00,0.252,0.000,240.050,1.000,0.000,0.000,1.0
8/10/2007,21:12:00,2.966,0.058,236.040,12.400,0.000,0.000,17.0
11/8/2009,00:45:00,0.378,0.330,242.000,2.000,0.000,2.000,1.0
27/7/2007,22:16:00,2.332,0.072,234.180,10.000,1.000,0.000,0.0
30/5/2008,04:16:00,0.198,0.046,242.540,0.800,0.000,0.000,1.0
27/3/2008,20:39:00,1.824,0.086,237.860,7.600,0.000,0.000,0.0
10/11/2008,00:01:00,0.410,0.098,242.790,1.800,0.000,0.000,0.0
28/3/2008,04:44:00,0.226,0.000,246.290,0.800,0.000,0.000,0.0
28/10/2010,09:00:00,1.538,0.192,244.5,6.2,0.0,0.0,19.0
17/8/2008,05:41:00,0.182,0.158,243.260,1.000,0.000,0.000,0.0
26/2/2009,03:23:00,0.342,0.124,245.730,1.400,0.000,0.000,0.0
15/9/2007,02:00:00,0.174,0.000,239.910,0.800,0.000,0.000,0.0
23/11/2009,18:06:00,0.490,0.102,242.680,2.000,0.000,0.000,0.0
6/10/2009,02:01:00,0.226,0.000,240.770,0.800,0.000,0.000,1.0
30/7/2008,18:38:00,1.728,0.000,237.900,7.200,0.000,0.000,18.0
29/7/2007,12:34:00,0.280,0.196,230.910,1.400,0.000,0.000,0.0
16/10/2007,19:36:00,1.128,0.062,236.410,4.800,0.000,0.000,0.0
19/8/2007,09:07:00,0.102,0.000,238.470,0.400,0.000,0.000,0.0
14/10/2009,15:43:00,0.294,0.064,239.430,1.200,0.000,0.000,1.0
4/7/2007,13:19:00,0.150,0.000,241.090,0.600,0.000,0.000,0.0
6/2/2009,18:14:00,2.776,0.072,238.680,11.600,0.000,0.000,18.0
18/1/2010,10:17:00,1.656,0.254,244.420,6.800,0.000,2.000,19.0
7/5/2007,05:36:00,0.120,0.000,234.660,0.600,0.000,0.000,0.0
27/3/2010,06:12:00,0.246,0.000,242.910,1.000,0.000,0.000,0.0
14/8/2010,21:39:00,0.244,0.104,239.080,1.000,0.000,1.000,1.0
11/11/2009,17:16:00,4.258,0.084,232.360,18.200,0.000,34.000,17.0
10/5/2009,13:49:00,1.564,0.204,241.030,6.600,0.000,0.000,18.0
9/5/2007,01:50:00,0.118,0.000,236.830,0.600,0.000,0.000,0.0
4/9/2009,23:31:00,0.238,0.000,245.910,1.000,0.000,0.000,1.0
11/3/2007,19:04:00,5.686,0.292,236.670,24.000,38.000,0.000,17.0
8/1/2010,03:01:00,0.362,0.154,252.700,1.600,0.000,0.000,1.0
10/10/2007,20:44:00,3.228,0.198,237.420,13.600,1.000,0.000,17.0
14/5/2007,16:05:00,0.712,0.400,235.650,3.600,0.000,0.000,0.0
14/1/2010,16:02:00,?,?,?,?,?,?,
30/10/2008,07:29:00,0.762,0.058,241.460,3.000,0.000,1.000,0.0
21/2/2009,09:47:00,0.486,0.050,240.120,2.000,0.000,0.000,0.0
23/3/2009,09:09:00,1.530,0.088,239.880,6.400,0.000,0.000,17.0
13/5/2008,10:15:00,0.334,0.248,240.470,1.600,0.000,1.000,0.0
17/1/2008,10:50:00,1.530,0.172,239.270,6.400,0.000,1.000,18.0
14/6/2009,00:33:00,?,?,?,?,?,?,
26/5/2010,22:41:00,0.316,0.000,243.280,1.200,0.000,0.000,1.0
5/3/2007,03:11:00,0.380,0.186,243.050,1.800,0.000,1.000,0.0
25/4/2007,07:48:00,1.274,0.048,236.410,5.400,0.000,0.000,18.0
3/8/2008,14:39:00,0.320,0.240,237.870,1.600,0.000,1.000,1.0
17/11/2009,13:23:00,1.398,0.076,244.640,5.600,0.000,0.000,19.0
17/2/2009,03:30:00,0.208,0.056,245.000,0.800,0.000,0.000,0.0
10/11/2008,12:53:00,1.850,0.134,238.600,7.800,0.000,0.000,18.0
27/3/2007,12:05:00,0.304,0.104,241.370,1.400,0.000,1.000,0.0
28/11/2008,00:38:00,0.330,0.096,245.490,1.400,0.000,0.000,0.0
7/3/2009,01:52:00,1.454,0.082,243.240,6.000,0.000,0.000,18.0
25/5/2010,18:04:00,0.480,0.000,240.820,2.000,0.000,2.000,1.0
3/12/2009,08:03:00,3.036,0.212,237.390,12.800,1.000,0.000,29.0
17/1/2010,05:00:00,0.250,0.000,248.130,1.000,0.000,0.000,0.0
20/4/2007,12:49:00,0.392,0.194,240.410,1.800,0.000,0.000,0.0
5/11/2008,13:01:00,5.046,0.392,234.700,21.800,37.000,0.000,17.0
31/7/2008,09:09:00,0.322,0.000,239.400,1.600,0.000,0.000,0.0
10/10/2010,18:02:00,1.478,0.000,239.850,6.000,0.000,0.000,1.0
27/5/2009,14:25:00,0.920,0.094,228.930,5.000,0.000,5.000,0.0
2/6/2008,00:21:00,0.262,0.122,243.860,1.200,0.000,0.000,1.0
6/7/2008,07:16:00,0.322,0.224,242.000,1.600,0.000,0.000,0.0
30/12/2007,23:14:00,1.044,0.000,242.360,4.400,0.000,0.000,0.0
22/4/2008,06:20:00,0.332,0.070,240.970,1.400,0.000,0.000,1.0
19/11/2010,08:52:00,1.3,0.066,241.95,5.4,0.0,0.0,18.0
30/4/2008,07:45:00,0.320,0.100,240.730,1.400,0.000,1.000,1.0
3/8/2010,08:54:00,0.376,0.134,242.030,1.600,0.000,0.000,0.0
8/11/2009,07:46:00,0.404,0.198,244.180,1.800,0.000,0.000,1.0
25/4/2007,19:05:00,0.186,0.088,235.780,0.800,0.000,0.000,0.0
11/2/2010,19:56:00,2.274,0.000,241.330,9.400,0.000,0.000,18.0
16/3/2008,16:57:00,0.342,0.000,246.460,1.600,0.000,0.000,0.0
7/4/2007,16:27:00,0.518,0.000,242.520,2.200,0.000,0.000,0.0
23/3/2007,07:19:00,3.456,0.074,239.210,15.800,0.000,0.000,18.0
7/10/2009,08:56:00,1.404,0.000,240.080,5.800,0.000,0.000,18.0
22/7/2008,07:51:00,1.536,0.122,239.160,6.400,0.000,0.000,18.0
13/1/2008,20:43:00,2.062,0.072,236.990,8.800,0.000,0.000,0.0
19/6/2007,17:15:00,0.174,0.106,243.220,0.800,0.000,0.000,0.0
15/10/2009,03:09:00,0.400,0.202,243.230,1.800,0.000,0.000,1.0
3/9/2007,08:44:00,2.920,0.056,238.210,13.000,0.000,25.000,17.0
7/3/2007,02:26:00,0.386,0.210,240.520,1.800,0.000,1.000,0.0
6/9/2010,00:50:00,0.372,0.200,242.930,1.800,0.000,2.000,1.0
19/1/2009,10:41:00,1.442,0.180,241.930,6.000,0.000,2.000,18.0
30/11/2007,22:59:00,1.190,0.000,244.950,4.800,0.000,0.000,0.0
25/4/2010,03:58:00,1.272,0.170,242.670,5.200,0.000,1.000,1.0
20/10/2007,03:46:00,0.404,0.224,242.520,1.800,0.000,2.000,0.0
6/2/2008,06:23:00,0.270,0.000,241.700,1.200,0.000,0.000,0.0
21/7/2010,19:26:00,0.328,0.090,240.650,1.400,0.000,0.000,1.0
20/8/2008,09:48:00,0.178,0.156,242.660,0.800,0.000,0.000,0.0
3/9/2010,11:57:00,1.378,0.134,238.330,5.800,0.000,1.000,18.0
30/6/2010,15:45:00,0.726,0.000,239.720,3.200,0.000,0.000,1.0
1/10/2009,20:26:00,3.198,0.182,235.270,13.600,0.000,0.000,18.0
16/11/2010,04:10:00,0.232,0.0,244.36,1.0,0.0,0.0,0.0
27/2/2010,00:34:00,0.274,0.000,245.240,1.200,0.000,0.000,0.0
22/7/2007,16:56:00,0.266,0.114,239.920,1.200,0.000,0.000,0.0
25/1/2010,11:15:00,1.330,0.048,241.570,5.400,0.000,0.000,19.0
28/6/2007,12:36:00,1.274,0.104,236.000,5.400,0.000,0.000,17.0
4/5/2009,13:15:00,1.320,0.000,241.030,5.400,0.000,0.000,18.0
21/12/2006,18:32:00,2.634,0.056,233.900,11.200,0.000,2.000,17.0
27/8/2008,08:37:00,0.182,0.156,242.350,1.000,0.000,0.000,0.0
15/3/2008,23:48:00,0.290,0.000,246.180,1.200,0.000,0.000,0.0
14/10/2010,04:11:00,0.358,0.090,240.010,1.600,0.000,1.000,0.0
13/5/2009,01:02:00,0.330,0.000,244.950,1.400,0.000,0.000,0.0
29/3/2009,05:54:00,1.844,0.000,243.110,7.600,0.000,0.000,0.0
28/3/2008,15:29:00,0.214,0.000,243.770,0.800,0.000,0.000,0.0
8/3/2008,03:19:00,0.264,0.000,242.190,1.000,0.000,0.000,0.0
22/6/2009,18:33:00,0.432,0.114,242.640,1.800,0.000,0.000,1.0
19/11/2010,22:44:00,0.374,0.07,241.04,1.6,0.0,0.0,0.0
8/7/2008,22:15:00,4.274,0.152,234.930,18.200,37.000,0.000,18.0
10/3/2010,04:29:00,0.348,0.100,248.860,1.400,0.000,0.000,1.0
17/1/2009,07:20:00,2.746,0.080,240.020,11.400,0.000,0.000,18.0
25/12/2008,12:07:00,0.442,0.134,241.120,1.800,0.000,1.000,0.0
17/7/2008,15:42:00,1.596,0.216,238.240,6.800,0.000,1.000,18.0
28/1/2010,01:02:00,1.502,0.118,244.470,6.000,0.000,0.000,19.0
3/12/2007,06:19:00,0.448,0.000,242.460,2.000,0.000,0.000,0.0
13/1/2009,00:07:00,0.376,0.100,248.400,1.600,0.000,0.000,0.0
24/11/2009,07:55:00,2.608,0.392,238.220,11.000,1.000,0.000,18.0
17/3/2009,21:58:00,2.520,0.000,239.990,11.000,0.000,25.000,0.0
17/1/2010,22:12:00,2.016,0.126,240.670,8.400,0.000,0.000,19.0
8/7/2010,23:37:00,1.202,0.084,241.320,5.000,0.000,0.000,0.0
7/5/2009,19:38:00,1.438,0.108,240.320,6.000,0.000,0.000,19.0
14/10/2007,14:28:00,3.762,0.162,236.520,15.800,1.000,37.000,18.0
11/5/2009,15:16:00,0.258,0.000,239.210,1.000,0.000,0.000,0.0
23/4/2010,03:00:00,0.316,0.064,242.260,1.200,0.000,0.000,1.0
6/6/2007,18:41:00,0.680,0.360,236.100,3.200,0.000,0.000,0.0
19/3/2008,15:21:00,0.390,0.232,241.480,1.800,0.000,1.000,0.0
14/2/2010,09:50:00,0.350,0.098,244.820,1.600,0.000,1.000,0.0
20/8/2010,21:53:00,?,?,?,?,?,?,
1/7/2010,14:01:00,0.896,0.146,236.040,3.800,0.000,1.000,0.0
26/4/2007,13:29:00,0.414,0.090,233.830,2.000,0.000,0.000,0.0
12/11/2010,18:14:00,2.552,0.268,231.6,11.0,0.0,0.0,0.0
14/4/2010,14:39:00,5.194,0.162,241.550,21.400,0.000,75.000,0.0
28/6/2009,22:19:00,1.302,0.048,241.330,5.400,0.000,0.000,1.0
31/8/2008,13:35:00,0.152,0.124,240.850,0.800,0.000,0.000,1.0
26/6/2009,11:44:00,0.230,0.106,240.650,1.000,0.000,1.000,0.0
8/8/2008,04:03:00,0.170,0.108,239.810,1.000,0.000,0.000,0.0
11/12/2009,20:24:00,0.934,0.224,243.840,3.800,1.000,0.000,1.0
6/8/2007,18:35:00,0.232,0.114,237.290,1.000,0.000,0.000,0.0
28/9/2008,21:05:00,4.056,0.124,236.250,17.800,17.000,0.000,17.0
17/4/2009,13:42:00,0.414,0.122,243.280,1.800,0.000,0.000,0.0
20/6/2007,01:29:00,0.174,0.102,240.850,0.800,0.000,1.000,0.0
27/2/2010,23:56:00,0.438,0.000,245.310,1.800,0.000,0.000,1.0
16/8/2010,23:45:00,0.972,0.120,241.930,4.000,0.000,0.000,0.0
16/7/2007,14:23:00,0.290,0.192,234.210,1.400,0.000,0.000,0.0
2/11/2009,18:44:00,1.826,0.046,238.940,7.600,0.000,0.000,18.0
18/1/2007,03:27:00,0.218,0.000,244.140,1.000,0.000,0.000,0.0
4/9/2009,06:53:00,1.524,0.000,240.740,6.200,0.000,0.000,19.0
19/3/2007,13:20:00,0.342,0.114,243.250,1.400,0.000,0.000,0.0
3/3/2007,15:11:00,0.218,0.000,243.310,0.800,0.000,0.000,0.0
18/12/2006,10:03:00,1.336,0.088,237.880,5.600,0.000,0.000,17.0
15/12/2009,14:12:00,1.572,0.068,246.290,6.400,0.000,0.000,19.0
5/11/2009,17:00:00,0.316,0.072,241.350,1.400,0.000,0.000,0.0
2/3/2007,16:29:00,0.326,0.126,241.430,1.400,0.000,0.000,0.0
11/11/2010,19:19:00,1.954,0.23,232.54,8.4,0.0,0.0,0.0
3/2/2008,13:07:00,0.460,0.000,241.850,2.200,0.000,0.000,0.0
16/12/2007,10:35:00,4.028,0.066,237.430,17.000,34.000,0.000,17.0
16/3/2007,22:39:00,2.196,0.094,238.700,9.200,0.000,0.000,18.0
6/4/2007,11:38:00,1.268,0.000,238.530,5.200,0.000,0.000,18.0
16/8/2010,05:57:00,0.842,0.170,238.190,3.600,0.000,0.000,11.0
23/6/2007,17:06:00,0.430,0.338,239.990,2.200,0.000,1.000,0.0
9/8/2010,20:45:00,0.160,0.000,241.890,0.600,0.000,0.000,1.0
8/1/2010,17:27:00,2.036,0.098,241.080,8.400,0.000,0.000,19.0
22/10/2008,22:30:00,2.228,0.182,238.790,9.200,0.000,1.000,18.0
3/12/2008,02:40:00,0.372,0.086,244.460,1.600,0.000,0.000,0.0
22/4/2009,22:24:00,0.464,0.172,243.650,2.000,0.000,1.000,1.0
27/6/2009,15:49:00,0.296,0.136,243.410,1.200,0.000,0.000,1.0
11/3/2008,05:00:00,0.282,0.052,242.740,1.200,0.000,0.000,0.0
7/11/2009,10:36:00,0.420,0.224,241.840,1.800,0.000,0.000,1.0
31/5/2010,11:43:00,1.240,0.000,238.700,5.200,0.000,0.000,18.0
11/11/2009,07:14:00,0.340,0.112,243.020,1.400,0.000,2.000,1.0
1/9/2007,19:18:00,1.694,0.192,240.430,7.200,0.000,0.000,18.0
22/5/2007,16:56:00,0.282,0.000,235.820,1.200,0.000,0.000,0.0
5/1/2009,08:49:00,1.382,0.072,243.700,5.600,0.000,0.000,18.0
9/4/2007,07:42:00,0.394,0.232,242.760,1.800,0.000,0.000,0.0
6/12/2008,15:58:00,1.408,0.246,242.700,5.800,0.000,0.000,0.0
30/5/2010,05:18:00,0.518,0.208,242.180,2.200,0.000,0.000,1.0
19/9/2007,09:17:00,1.326,0.198,236.730,5.600,0.000,1.000,17.0
13/12/2009,10:43:00,3.730,0.088,242.930,15.600,39.000,0.000,0.0
22/4/2010,08:29:00,0.630,0.328,243.170,3.000,0.000,1.000,1.0
23/12/2007,19:50:00,7.006,0.432,233.620,30.400,22.000,32.000,17.0
15/8/2008,00:52:00,0.156,0.122,240.760,0.800,0.000,0.000,0.0
20/6/2007,02:22:00,0.084,0.000,239.790,0.400,0.000,0.000,0.0
15/1/2007,15:43:00,1.676,0.268,243.250,7.000,0.000,1.000,18.0
27/1/2010,16:44:00,0.802,0.252,244.620,3.400,0.000,1.000,1.0
22/8/2007,12:01:00,0.202,0.132,239.970,1.000,0.000,0.000,0.0
24/7/2008,09:31:00,2.060,0.156,236.310,8.600,0.000,0.000,30.0
25/1/2010,23:43:00,1.606,0.000,243.050,6.600,2.000,0.000,19.0
4/4/2010,07:26:00,0.306,0.082,245.770,1.200,0.000,0.000,1.0
13/9/2008,14:36:00,0.842,0.362,242.570,4.200,0.000,0.000,4.0
18/4/2007,16:14:00,0.144,0.000,242.590,0.600,0.000,0.000,0.0
12/9/2009,12:56:00,2.722,0.410,239.050,11.400,38.000,1.000,1.0
18/7/2007,20:38:00,0.190,0.074,235.070,0.800,0.000,0.000,0.0
13/11/2008,14:05:00,0.338,0.062,245.150,1.400,0.000,0.000,0.0
29/5/2010,01:22:00,0.384,0.112,239.990,1.800,0.000,0.000,1.0
9/8/2009,00:38:00,0.234,0.136,241.580,1.000,0.000,0.000,1.0
7/9/2008,11:33:00,0.400,0.110,240.400,1.800,0.000,0.000,1.0
22/8/2010,06:14:00,?,?,?,?,?,?,
16/11/2007,02:23:00,0.418,0.248,246.000,2.000,0.000,1.000,0.0
12/6/2009,23:50:00,0.294,0.000,245.370,1.200,0.000,0.000,1.0
19/4/2010,04:55:00,0.344,0.066,239.520,1.400,0.000,0.000,1.0
27/2/2008,03:19:00,0.318,0.114,242.670,1.400,0.000,0.000,0.0
23/7/2010,21:30:00,1.398,0.222,239.910,5.800,0.000,1.000,18.0
15/1/2008,13:00:00,3.512,0.246,240.230,14.800,0.000,27.000,18.0
6/12/2007,17:42:00,2.102,0.066,236.630,8.800,0.000,0.000,0.0
24/9/2008,09:45:00,1.302,0.110,239.490,5.400,0.000,1.000,18.0
15/12/2008,11:24:00,1.340,0.056,241.390,5.400,0.000,0.000,18.0
17/8/2010,14:02:00,0.266,0.092,239.430,1.200,0.000,0.000,1.0
21/12/2007,05:23:00,0.328,0.114,247.020,1.400,0.000,0.000,0.0
10/1/2008,01:19:00,0.398,0.000,243.340,1.800,0.000,0.000,0.0
1/2/2009,20:57:00,1.048,0.000,242.760,4.200,0.000,0.000,0.0
3/3/2007,10:25:00,0.222,0.000,241.870,1.000,0.000,0.000,0.0
26/2/2007,04:58:00,0.300,0.104,239.380,1.200,0.000,1.000,0.0
21/10/2008,22:28:00,0.916,0.000,240.590,3.800,0.000,0.000,1.0
4/10/2008,03:18:00,1.394,0.000,237.040,5.800,0.000,0.000,18.0
10/3/2009,03:06:00,1.454,0.084,242.300,6.000,0.000,0.000,18.0
2/1/2010,04:43:00,0.260,0.000,248.900,1.000,0.000,0.000,1.0
27/12/2009,12:00:00,0.778,0.126,244.680,3.200,0.000,0.000,0.0
11/4/2010,18:01:00,0.522,0.224,241.490,2.400,0.000,1.000,0.0
