,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
66,1.42,0.048,240.86,5.8,0,0,18,10,2,18
67,1.378,0.05,237.05,5.8,0,1,18,20,6,19
68,1.482,0.286,238.51,6.2,0,0,0,1,9,0
69,0.626,0.274,241.93,3.0,0,2,4,3,10,6
70,1.488,0.156,246.95,6.0,0,0,19,10,12,19
71,0.214,0.0,239.6,0.8,0,0,0,25,2,0
72,1.008,0.116,240.49,4.2,0,1,1,27,8,2
73,2.014,0.208,239.79,8.4,0,2,19,25,2,21
74,0.196,0.0,236.58,0.8,0,0,0,3,11,0
75,1.294,0.048,242.12,5.2,0,0,18,20,3,18
76,4.584,0.416,237.7,19.2,38,0,28,23,5,66
77,1.036,0.392,240.55,4.6,0,2,12,8,8,14
78,0.318,0.09,242.77,1.4,0,0,0,14,1,0
79,0.342,0.07,243.06,1.4,0,0,1,21,5,1
80,0.296,0.098,238.61,1.2,0,0,0,29,3,0
81,2.07,0.104,242.52,8.4,1,1,18,6,12,20
82,2.446,0.144,238.94,10.2,0,1,18,6,3,19
83,0.19,0.0,243.11,0.8,0,0,1,1,7,1
84,0.266,0.0,247.27,1.2,0,0,0,2,2,0
85,1.616,0.092,239.86,6.6,0,0,0,29,10,0
86,2.384,0.05,242.44,9.8,0,2,18,7,3,20
87,0.358,0.082,242.65,1.4,0,0,0,27,4,0
88,1.5,0.058,237.45,6.4,0,1,17,11,12,18
89,0.25,0.056,244.75,1.0,0,0,0,11,2,0
90,0.26,0.104,238.48,1.2,0,0,1,13,5,1
91,0.372,0.086,239.53,1.6,0,0,1,10,7,1
92,1.044,0.276,242.6,4.4,0,0,0,17,7,0
93,1.4,0.052,239.6,5.8,0,0,18,17,12,18
94,1.414,0.086,237.56,5.8,0,0,17,14,11,17
95,0.136,0.0,241.63,0.6,0,0,0,24,9,0
96,0.23,0.126,241.42,1.0,0,1,1,1,8,2
97,2.378,0.0,242.79,9.8,0,1,0,20,2,1
98,1.54,0.148,239.33,7.0,0,20,1,31,3,21
99,1.338,0.0,241.73,5.4,0,0,18,13,4,18
100,1.568,0.118,240.29,6.4,0,0,18,12,2,18
101,2.688,0.07,240.28,11.2,0,0,0,10,2,0
102,0.352,0.122,244.52,1.4,0,0,1,9,4,1
103,0.854,0.476,239.61,4.0,0,1,1,29,3,2
104,1.408,0.106,237.26,5.8,0,0,0,7,12,0
105,1.62,0.674,241.26,7.2,1,1,1,10,10,3
106,1.284,0.182,232.1,5.6,0,0,16,6,8,16
107,1.742,0.0,233.64,7.4,0,0,17,7,5,17
108,2.01,0.114,241.51,8.2,0,0,1,10,10,1
109,0.562,0.356,240.47,2.8,0,1,1,27,4,2
110,0.304,0.0,242.6,1.4,0,0,0,28,4,0
111,0.218,0.11,234.94,1.0,0,0,0,26,7,0
112,0.34,0.066,239.91,1.4,0,0,1,3,10,1
113,0.31,0.088,234.79,1.4,0,0,0,1,6,0
114,0.416,0.054,241.61,1.8,0,3,0,7,4,3
115,0.258,0.0,248.05,1.0,0,0,1,6,3,1
116,1.468,0.076,238.04,6.2,0,0,18,18,1,18
117,0.452,0.27,246.83,2.0,0,2,1,16,1,3
118,1.88,0.11,241.55,7.8,0,0,18,28,12,18
119,1.692,0.0,238.67,7.0,0,0,18,11,11,18
120,1.918,0.0,240.96,8.2,0,27,1,8,10,28
121,1.524,0.062,235.67,6.4,0,0,0,25,1,0
122,1.71,0.206,236.59,7.2,0,1,17,8,2,18
123,0.316,0.094,242.89,1.4,0,0,0,13,3,0
124,2.664,0.056,232.14,11.6,0,0,0,6,1,0
125,1.83,0.072,235.5,7.6,0,0,17,25,9,17
126,0.244,0.112,239.2,1.0,0,0,1,26,6,1
127,3.764,0.06,236.54,15.8,38,0,0,30,12,38
128,0.356,0.234,240.6,1.8,0,2,0,5,7,2
129,0.266,0.058,242.0,1.2,0,0,1,13,10,1
130,0.386,0.104,242.77,1.6,0,0,0,15,3,0
131,0.57,0.284,232.46,2.8,0,1,0,7,6,1
132,0.664,0.306,245.52,3.0,0,2,1,13,4,3
133,0.334,0.212,240.39,1.6,0,0,0,26,7,0
134,1.558,0.348,243.26,6.4,0,2,18,1,2,20
135,0.296,0.08,250.44,1.2,0,0,0,3,2,0
136,0.198,0.0,244.65,0.8,0,0,1,19,9,1
137,2.082,0.292,245.94,8.4,0,1,19,9,1,20
138,0.534,0.152,245.43,2.2,0,1,1,19,3,2
139,1.452,0.0,239.37,6.0,0,1,18,12,10,19
140,1.498,0.058,242.41,6.2,0,2,18,23,11,20
141,2.15,0.156,241.39,8.8,1,0,18,1,6,19
142,0.35,0.136,247.51,1.4,0,0,1,14,1,1
143,0.272,0.0,247.53,1.2,0,0,0,9,11,0
144,0.368,0.068,240.7,1.6,0,1,1,21,9,2
145,1.336,0.136,238.93,5.6,0,0,18,28,5,18
146,0.51,0.266,239.23,2.4,0,1,1,1,1,2
147,2.01,0.068,234.94,8.6,0,0,16,12,10,16
148,2.294,0.622,241.7,9.8,0,0,12,10,7,12
149,0.486,0.24,241.2,2.2,0,0,1,25,6,1
150,3.664,0.066,239.34,15.2,1,0,17,18,11,18
151,0.304,0.228,241.93,1.6,0,1,0,28,6,1
152,3.102,0.0,233.72,13.2,0,0,17,6,5,17
153,0.342,0.17,241.8,1.6,0,0,1,7,9,1
154,0.382,0.096,243.99,1.6,0,0,0,8,4,0
155,1.634,0.058,242.74,6.6,0,0,19,15,5,19
156,1.504,0.076,240.61,6.2,0,0,19,24,5,19
157,1.204,0.106,233.79,5.0,0,0,17,8,8,17
158,0.34,0.0,241.59,1.6,0,0,0,13,12,0
159,0.248,0.0,241.85,1.0,0,0,0,17,10,0
160,0.218,0.134,244.99,1.0,0,2,1,9,8,3
161,1.626,0.21,239.53,6.8,1,1,18,10,4,20
162,0.27,0.0,246.79,1.2,0,0,0,7,3,0
163,0.144,0.0,241.57,0.6,0,0,0,22,6,0
164,0.196,0.05,238.93,0.8,0,0,0,29,11,0
165,0.21,0.0,238.34,0.8,0,0,0,26,2,0
166,0.254,0.256,241.19,1.4,0,0,0,9,8,0
167,0.258,0.0,243.57,1.2,0,0,1,22,1,1
168,0.4,0.262,241.14,2.0,0,1,1,27,7,2
169,0.294,0.224,239.54,1.6,0,1,0,30,8,1
170,0.38,0.118,243.99,1.6,0,0,0,20,5,0
171,1.514,0.094,239.82,6.2,0,0,0,4,10,0
172,1.312,0.404,240.53,5.6,0,0,12,22,5,12
173,2.056,0.326,243.47,8.4,0,0,29,14,5,29
174,1.528,0.224,243.76,6.2,2,0,19,14,6,21
175,1.718,0.186,233.22,7.4,0,0,17,26,5,17
176,0.168,0.0,241.89,0.8,0,0,0,29,5,0
177,3.632,0.188,236.6,15.2,37,1,18,28,3,56
178,0.76,0.298,242.33,3.4,0,0,0,21,10,0
179,2.16,0.106,232.14,9.2,0,0,0,23,3,0
180,3.896,0.0,240.81,16.2,0,25,18,31,3,43
181,0.298,0.082,239.1,1.2,0,0,1,9,6,1
182,1.662,0.068,237.28,7.0,0,0,18,21,11,18
183,0.328,0.0,239.53,1.8,0,0,0,12,6,0
184,1.832,0.0,238.06,7.6,0,0,18,15,2,18
185,0.282,0.0,243.03,1.2,0,0,0,28,11,0
186,1.532,0.202,237.47,6.6,0,0,18,27,7,18
187,0.396,0.226,242.22,1.8,0,1,0,19,11,1
188,1.402,0.12,241.03,5.8,0,0,18,17,3,18
189,1.6,0.484,233.64,7.0,0,1,17,22,6,18
190,1.334,0.0,238.16,5.6,0,0,18,5,2,18
191,0.612,0.08,241.06,2.6,0,0,1,14,9,1
192,1.436,0.06,239.03,6.0,0,0,18,5,10,18
193,1.282,0.086,239.59,5.2,0,0,19,17,7,19
194,2.26,0.108,238.46,9.8,0,0,18,3,1,18
195,1.996,0.254,240.26,8.2,0,0,29,13,10,29
196,1.354,0.11,242.83,5.6,0,1,18,17,6,19
197,0.494,0.352,241.22,2.4,0,3,0,19,4,3
198,1.512,0.204,238.83,6.4,0,0,18,14,3,18
199,0.324,0.098,239.81,1.4,0,0,0,9,4,0
200,0.254,0.0,237.67,1.0,0,0,0,8,10,0
201,0.106,0.0,239.86,0.4,0,0,0,17,8,0
202,2.6,0.052,237.88,10.8,0,0,18,1,9,18
203,2.296,0.154,239.56,9.6,0,0,18,7,10,18
204,0.25,0.0,246.3,1.0,0,0,0,27,12,0
205,2.85,0.112,237.58,12.0,0,0,17,16,1,17
206,2.076,0.0,236.69,8.8,0,0,17,20,2,17
207,0.812,0.116,242.94,3.4,0,0,12,3,9,12
208,1.742,0.234,238.31,7.2,1,1,18,10,7,20
209,0.472,0.0,237.94,2.0,0,0,1,17,9,1
210,0.272,0.162,243.2,1.2,0,0,0,12,8,0
211,0.274,0.0,244.86,1.2,0,0,0,30,3,0
212,1.306,0.0,239.47,5.4,0,0,18,22,12,18
213,2.866,0.0,237.67,12.0,0,0,17,1,2,17
214,1.44,0.072,241.82,5.8,0,1,20,16,10,21
215,1.456,0.046,239.72,6.0,0,0,18,25,7,18
216,0.304,0.0,252.13,1.2,0,0,0,20,12,0
217,0.508,0.092,242.25,2.2,0,1,0,7,10,1
218,0.156,0.0,241.38,0.6,0,0,0,15,6,0
219,0.45,0.058,241.74,2.0,0,0,1,21,5,1
220,0.192,0.09,239.07,0.8,0,0,0,10,9,0
221,0.61,0.074,240.78,2.6,0,0,0,10,11,0
222,1.19,0.254,239.7,5.0,0,5,12,28,7,17
223,2.582,0.08,241.18,11.0,2,0,18,24,3,20
224,2.902,0.252,233.78,12.4,0,0,0,11,11,0
225,1.338,0.0,241.93,5.4,0,0,18,10,4,18
226,0.174,0.15,240.23,0.8,0,0,1,24,8,1
227,0.238,0.0,242.28,1.0,0,0,1,18,5,1
228,0.404,0.238,243.11,1.8,0,1,1,3,4,2
229,1.326,0.0,239.85,5.4,0,0,17,27,3,17
230,1.324,0.088,239.49,5.4,0,0,18,14,6,18
231,0.236,0.106,242.56,1.0,0,1,1,5,9,2
232,3.392,0.224,237.09,14.2,0,0,17,27,9,17
233,1.518,0.312,239.94,6.4,0,2,17,21,3,19
234,3.728,0.0,237.02,15.8,0,0,18,13,10,18
235,0.368,0.096,247.0,1.6,0,0,0,13,1,0
236,0.558,0.15,240.64,2.4,0,0,0,26,10,0
237,0.242,0.0,243.68,1.0,0,0,1,25,11,1
238,0.758,0.194,241.96,3.2,0,1,0,26,4,1
239,0.206,0.0,242.81,0.8,0,0,0,29,10,0
240,1.29,0.0,238.57,5.4,0,0,17,23,11,17
241,1.924,0.058,240.65,8.0,0,0,18,28,1,18
242,1.782,0.054,244.13,7.2,0,0,19,10,2,19
243,3.742,0.0,233.51,16.2,0,30,17,21,1,47
244,0.33,0.14,239.22,1.4,0,0,0,18,1,0
245,1.264,0.0,238.68,5.2,0,0,18,27,2,18
246,1.558,0.05,242.72,6.4,0,0,19,4,4,19
247,1.294,0.084,242.49,5.2,0,0,1,10,2,1
248,4.232,0.41,237.18,18.4,26,0,17,1,12,43
249,1.324,0.062,240.5,5.4,0,0,18,16,1,18
250,0.314,0.118,245.1,1.4,0,0,0,5,4,0
251,0.424,0.104,239.88,1.8,0,0,1,22,5,1
252,1.28,0.13,241.4,5.2,0,0,18,15,8,18
253,2.27,0.118,242.91,9.2,0,0,18,6,2,18
254,0.25,0.122,238.24,1.2,0,0,1,3,8,1
255,0.564,0.306,243.78,2.6,0,2,0,18,2,2
256,0.206,0.09,237.05,1.0,0,0,0,21,4,0
257,0.082,0.0,241.23,0.2,0,0,1,29,8,1
258,3.672,0.21,236.5,15.4,0,0,17,21,1,17
259,0.37,0.172,240.52,1.8,0,1,0,26,9,1
260,0.14,0.076,241.04,0.8,0,0,0,13,8,0
261,1.336,0.058,238.29,5.6,0,0,18,22,10,18
262,0.398,0.212,243.32,1.8,0,0,0,9,1,0
263,0.382,0.09,239.12,1.6,0,0,0,16,10,0
264,1.494,0.302,240.32,6.2,1,2,0,25,11,3
265,2.208,0.212,236.87,9.4,1,1,1,4,10,3
266,1.742,0.388,237.22,7.6,0,1,21,21,7,22
267,1.002,0.192,240.53,4.2,0,0,0,26,1,0
268,0.348,0.124,241.6,1.6,0,0,0,15,2,0
269,0.186,0.148,239.11,1.0,0,0,1,21,8,1
270,0.134,0.0,243.65,0.6,0,0,0,11,7,0
271,1.272,0.0,241.36,5.2,0,0,0,26,12,0
272,0.282,0.122,240.67,1.2,0,0,0,22,9,0
273,1.342,0.0,243.64,5.4,0,0,19,19,4,19
274,1.572,0.06,241.64,6.4,0,1,19,29,8,20
275,2.764,0.104,237.65,11.6,0,0,18,17,12,18
276,0.312,0.202,238.9,1.6,0,1,0,13,6,1
277,0.448,0.24,241.63,2.0,0,2,0,28,8,2
278,0.398,0.238,240.63,1.8,0,2,0,11,4,2
279,2.744,0.076,238.57,11.4,0,0,0,28,1,0
280,0.37,0.192,242.53,1.8,0,0,0,21,9,0
281,0.716,0.0,242.79,2.8,0,0,0,29,10,0
282,0.212,0.0,249.29,0.8,0,0,0,21,12,0
283,0.22,0.128,239.73,1.0,0,0,0,18,4,0
284,0.202,0.056,242.09,1.2,0,0,1,5,9,1
285,0.422,0.108,237.04,1.8,2,0,0,19,2,2
286,1.452,0.066,230.0,6.4,0,0,16,17,5,16
287,0.898,0.072,238.71,3.6,0,0,1,13,11,1
288,0.37,0.106,243.68,1.6,0,0,1,16,4,1
289,1.542,0.078,238.08,6.4,0,0,17,13,2,17
290,0.542,0.0,236.2,2.2,0,0,0,2,10,0
291,0.738,0.25,242.54,3.2,0,1,0,22,12,1
292,0.318,0.114,242.63,1.4,0,0,0,9,6,0
293,0.812,0.088,239.58,3.4,0,0,1,9,5,1
294,1.32,0.066,244.96,5.4,0,0,18,8,12,18
295,0.196,0.126,236.98,1.0,0,0,0,14,8,0
296,0.254,0.0,242.3,1.0,0,0,1,30,12,1
297,4.74,0.608,239.62,20.0,0,0,17,17,11,17
298,0.568,0.198,242.05,2.6,0,0,0,26,10,0
299,0.226,0.0,244.82,1.0,0,1,0,4,3,1
300,1.502,0.212,244.44,6.4,0,0,1,6,1,1
301,1.084,0.606,240.31,5.2,2,3,1,29,6,6
302,0.504,0.26,236.91,2.4,1,1,1,9,9,3
303,0.222,0.082,239.35,1.0,0,0,1,6,9,1
304,0.082,0.0,242.35,0.2,0,0,1,17,8,1
305,1.288,0.0,240.09,5.2,0,0,18,18,2,18
306,0.296,0.076,242.61,1.4,0,0,1,26,8,1
307,0.308,0.18,239.82,1.4,0,1,1,7,7,2
308,0.314,0.052,245.55,1.2,0,0,0,16,2,0
309,2.074,0.144,241.21,8.6,0,2,18,11,11,20
310,0.48,0.048,249.75,2.0,0,0,1,18,12,1
311,0.452,0.366,244.29,2.4,0,2,1,30,6,3
312,0.342,0.098,242.94,1.4,0,0,1,19,10,1
313,0.222,0.12,238.13,1.0,0,0,0,14,6,0
314,1.454,0.092,235.49,6.2,0,0,0,4,5,0
315,0.266,0.056,240.43,1.2,0,0,0,14,11,0
316,2.612,0.05,236.91,11.0,0,0,17,21,2,17
317,1.864,0.282,237.52,8.0,0,0,18,22,4,18
318,1.282,0.07,239.4,5.2,0,1,18,30,6,19
319,0.39,0.25,242.6,2.0,0,1,0,2,6,1
320,0.504,0.152,244.85,2.0,0,0,0,11,4,0
321,0.308,0.082,233.58,1.4,0,0,0,24,5,0
322,2.292,0.098,240.54,9.6,0,0,0,18,12,0
323,1.294,0.09,238.8,5.4,0,0,19,9,7,19
324,2.4,0.0,241.48,9.8,0,0,0,5,1,0
325,0.434,0.23,242.9,2.0,0,1,1,28,4,2
326,0.308,0.09,243.62,1.2,0,2,0,22,11,2
327,0.278,0.0,246.8,1.0,0,0,1,29,1,1
328,0.468,0.074,242.89,2.0,0,0,0,16,3,0
329,0.246,0.0,243.17,1.0,0,0,1,3,5,1
330,2.646,0.444,233.84,11.8,0,1,17,25,6,18
331,0.222,0.0,245.45,1.0,0,0,0,20,3,0
332,0.326,0.102,243.72,1.4,0,0,0,13,3,0
333,0.932,0.106,240.73,3.8,0,0,11,11,5,11
334,1.766,0.144,243.37,7.2,1,3,19,25,1,23
335,1.416,0.438,237.55,6.2,0,1,3,1,7,4
336,1.262,0.0,240.21,5.2,0,0,18,15,7,18
337,0.162,0.0,240.4,0.6,0,0,0,2,6,0
338,0.336,0.078,239.23,1.4,0,2,1,10,5,3
339,0.156,0.0,241.64,0.6,0,0,1,11,8,1
340,0.344,0.232,240.56,1.6,0,2,1,15,6,3
341,0.288,0.076,240.06,1.2,0,0,0,25,2,0
342,0.18,0.16,243.64,1.0,0,0,1,28,8,1
343,1.224,0.164,239.45,5.0,0,2,0,29,11,2
344,0.278,0.236,241.38,1.4,0,0,0,13,6,0
345,2.334,0.0,238.1,9.8,0,0,18,1,6,18
346,0.292,0.074,245.33,1.2,0,0,0,18,11,0
347,2.062,0.278,237.44,9.0,0,6,18,11,10,24
348,2.3,0.348,239.89,9.6,0,1,17,22,10,18
349,0.224,0.078,238.6,1.0,0,0,1,27,7,1
350,0.232,0.0,248.16,1.0,0,0,0,24,12,0
351,0.274,0.0,247.34,1.2,0,0,0,6,1,0
352,1.43,0.1,243.96,5.8,0,0,18,19,11,18
353,0.33,0.0,242.02,1.4,0,0,1,10,4,1
354,0.242,0.088,239.76,1.0,0,2,1,25,9,3
355,1.368,0.0,235.75,5.8,0,0,0,3,2,0
356,0.384,0.114,243.86,1.8,0,2,1,16,7,3
357,0.906,0.184,239.53,3.8,0,0,1,11,6,1
358,2.76,0.236,237.1,11.8,0,2,18,5,1,20
359,0.522,0.206,242.3,2.2,0,0,1,9,4,1
360,0.244,0.0,240.63,1.0,0,0,0,18,4,0
361,1.164,0.08,241.69,5.2,0,0,13,2,10,13
362,0.148,0.0,239.19,0.6,0,0,0,11,9,0
363,0.288,0.09,241.46,1.2,0,0,0,10,4,0
364,0.222,0.0,241.88,1.0,0,0,0,27,2,0
365,0.29,0.118,244.44,1.2,0,0,0,17,1,0
366,1.348,0.0,238.88,5.6,0,0,17,29,1,17
367,1.968,0.404,244.97,8.2,0,0,18,27,2,18
368,1.678,0.0,239.46,7.0,0,0,18,7,1,18
369,0.358,0.15,243.94,1.6,0,0,0,8,12,0
370,1.482,0.0,238.07,6.2,0,0,17,26,11,17
371,0.344,0.108,242.08,1.6,0,1,0,29,9,1
372,1.026,0.184,238.92,4.4,0,1,0,16,10,1
373,2.596,0.0,237.0,10.8,37,0,0,17,9,37
374,1.596,0.0,240.19,6.6,0,0,17,31,12,17
375,0.448,0.2,241.61,2.0,0,1,1,19,4,2
376,0.346,0.216,243.12,1.6,0,0,1,5,7,1
377,0.296,0.23,242.68,1.4,0,2,0,4,8,2
378,0.1,0.0,234.5,0.4,0,0,0,29,7,0
379,1.45,0.2,238.96,6.0,0,0,17,14,4,17
380,2.3,0.0,238.05,9.6,0,0,0,12,1,0
381,2.034,0.128,244.97,8.2,0,0,19,16,2,19
382,0.44,0.09,241.7,2.0,0,0,0,26,1,0
383,0.238,0.0,246.17,1.0,0,0,1,1,2,1
384,0.27,0.068,237.08,1.2,0,0,0,27,10,0
385,1.018,0.254,241.3,4.6,0,0,1,7,10,1
386,1.21,0.0,238.64,5.0,0,0,18,22,7,18
387,1.69,0.052,237.61,7.0,0,0,0,14,10,0
388,1.076,0.118,238.16,4.6,0,0,1,29,7,1
389,1.116,0.142,240.22,4.6,0,0,1,9,6,1
390,0.344,0.116,236.09,1.6,0,1,0,17,2,1
391,3.728,0.576,235.38,16.0,1,0,23,21,11,24
392,1.362,0.096,243.23,5.6,0,2,19,16,9,21
393,0.442,0.05,248.01,2.2,0,0,0,1,12,0
394,1.234,0.048,239.82,5.0,0,0,18,8,6,18
395,1.412,0.514,236.96,6.2,0,1,12,1,7,13
396,1.276,0.0,238.31,5.4,0,0,0,12,5,0
397,1.348,0.0,243.43,5.4,0,0,19,15,11,19
398,0.326,0.048,242.59,1.6,0,0,0,28,1,0
399,1.75,0.0,242.47,7.2,0,0,19,16,4,19
400,0.45,0.282,230.82,2.2,0,1,1,26,5,2
401,0.328,0.24,239.96,1.6,0,1,0,27,6,1
402,0.512,0.356,244.0,2.4,0,1,1,6,10,2
403,0.266,0.0,246.44,1.2,0,0,0,28,12,0
404,1.564,0.192,241.42,6.4,0,2,18,12,3,20
405,0.33,0.098,247.67,1.4,0,0,0,5,2,0
406,1.37,0.076,237.55,5.8,0,0,18,3,2,18
407,1.214,0.064,233.98,5.2,0,0,17,6,5,17
408,0.404,0.102,242.06,1.6,0,0,0,5,4,0
409,0.282,0.0,242.83,1.2,0,0,1,15,5,1
410,0.264,0.0,244.94,1.0,0,0,0,10,4,0
411,0.138,0.0,240.02,0.6,0,0,1,18,6,1
412,0.382,0.0,246.84,1.6,0,0,0,10,11,0
413,1.576,0.198,233.46,7.0,0,0,0,5,5,0
414,2.03,0.206,239.04,8.6,0,0,18,29,6,18
415,1.892,0.12,239.63,7.8,0,0,28,13,11,28
416,1.476,0.226,236.91,6.2,0,1,0,3,12,1
417,0.478,0.292,243.47,2.2,0,0,1,21,5,1
418,0.704,0.108,243.95,2.8,0,0,1,28,11,1
419,0.346,0.108,242.59,1.6,0,1,1,19,4,2
420,1.464,0.114,244.22,6.0,0,0,19,14,5,19
421,0.1,0.0,235.34,0.4,0,0,0,30,7,0
422,0.408,0.212,240.05,1.8,0,1,0,19,4,1
423,0.284,0.078,241.9,1.2,0,1,0,30,3,1
424,0.244,0.0,247.42,1.0,0,0,1,9,11,1
425,0.112,0.0,241.75,0.4,0,0,0,25,8,0
426,0.3,0.0,240.88,1.2,0,0,1,16,10,1
427,0.312,0.0,242.12,1.4,0,1,0,21,3,1
428,1.944,0.232,236.89,8.2,0,0,29,18,6,29
429,0.234,0.132,240.85,1.0,0,0,0,5,8,0
430,1.43,0.14,241.15,5.8,0,0,19,6,12,19
431,0.306,0.172,243.42,1.4,0,1,0,28,12,1
432,1.496,0.204,239.05,6.2,0,1,18,4,5,19
433,1.33,0.0,240.17,5.4,0,0,0,13,12,0
434,0.452,0.082,239.76,1.8,0,0,0,3,7,0
435,0.412,0.116,240.4,1.8,0,2,1,14,4,3
436,0.556,0.24,239.66,2.4,0,2,0,28,7,2
437,3.616,0.162,235.41,15.2,37,0,17,22,2,54
438,1.298,0.1,240.45,5.4,0,0,18,22,6,18
439,1.684,0.16,244.87,6.8,0,0,19,30,6,19
440,0.606,0.088,237.31,2.4,0,0,0,5,10,0
441,1.466,0.174,240.28,6.0,0,0,18,22,3,18
442,1.04,0.256,241.6,4.4,0,0,11,22,4,11
443,0.382,0.336,238.04,2.0,0,1,0,13,5,1
444,0.37,0.224,239.76,1.8,0,1,0,21,6,1
445,3.914,0.36,237.91,16.4,37,2,18,6,7,57
446,1.746,0.294,240.46,7.2,1,0,18,20,1,19
447,1.414,0.108,237.82,6.0,0,0,20,9,9,20
448,0.298,0.0,244.28,1.2,0,0,0,21,3,0
449,0.156,0.12,239.12,0.8,0,0,0,22,8,0
450,0.266,0.0,243.59,1.0,0,0,1,3,8,1
451,2.128,0.35,238.7,9.4,0,31,0,1,10,31
452,1.584,0.168,243.2,6.6,0,0,18,4,3,18
453,3.328,0.0,242.47,13.6,0,37,1,3,1,38
454,0.586,0.392,241.92,2.8,0,2,0,15,7,2
455,0.456,0.126,242.24,1.8,0,0,1,3,10,1
456,1.364,0.0,243.84,5.6,0,0,19,5,11,19
457,0.518,0.166,248.59,2.2,1,0,1,2,12,2
458,2.34,0.176,238.85,9.8,0,34,0,19,8,34
459,0.318,0.17,243.09,1.4,0,2,0,7,1,2
460,0.436,0.088,246.11,1.8,0,0,0,16,2,0
461,0.582,0.178,241.81,2.4,0,0,1,1,9,1
