Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.266,0.0,240.65,1.0,0,0,1,24,7,1
2.354,0.082,240.44,9.8,0,0,0,14,1,0
2.242,0.0,236.55,9.6,0,0,18,12,2,18
0.326,0.0,240.42,1.6,0,0,0,1,2,0
1.01,0.088,243.82,4.2,0,0,0,8,2,0
1.43,0.0,238.88,6.0,0,0,19,29,9,19
1.57,0.066,239.34,6.6,0,0,18,3,7,18
0.384,0.246,240.07,1.8,0,2,1,21,6,3
1.354,0.048,242.28,5.6,0,0,18,30,3,18
2.37,0.068,236.74,10.0,0,0,18,31,3,18
3.208,0.158,236.45,13.4,0,0,17,12,12,17
0.592,0.098,238.64,2.4,0,0,0,2,3,0
0.428,0.088,242.47,1.8,0,0,1,8,9,1
0.182,0.0,242.09,0.8,0,0,1,23,7,1
4.102,0.072,236.76,17.2,37,0,0,12,12,37
0.218,0.11,234.92,1.0,0,0,0,24,7,0
2.286,0.1,240.55,9.4,0,0,19,31,1,19
0.192,0.158,243.6,1.0,0,0,1,14,8,1
0.564,0.066,247.69,2.4,0,2,0,31,12,2
0.306,0.0,239.95,1.6,0,0,0,12,6,0
0.26,0.0,246.86,1.0,0,0,1,26,10,1
2.064,0.104,241.38,8.4,0,0,18,8,3,18
0.318,0.094,240.08,1.4,0,1,1,28,4,2
0.764,0.116,238.6,3.2,0,0,12,10,8,12
1.33,0.0,242.71,6.2,0,0,0,21,10,0
0.692,0.098,244.48,2.8,1,0,0,6,7,1
0.418,0.106,240.21,1.8,0,1,0,26,12,1
1.334,0.0,241.51,5.4,0,0,18,21,2,18
0.316,0.054,246.17,1.2,0,0,0,22,2,0
0.264,0.0,246.16,1.0,0,0,1,25,1,1
5.036,0.234,239.41,21.2,1,37,17,30,12,55
3.44,0.0,238.26,14.4,1,0,18,24,9,19
0.674,0.134,239.96,3.0,0,0,0,18,7,0
0.364,0.13,243.32,1.6,0,0,1,8,4,1
1.406,0.0,241.96,5.8,0,2,18,8,5,20
0.302,0.054,244.19,1.4,0,0,0,16,2,0
0.35,0.364,241.18,2.0,0,1,0,18,6,1
4.042,0.078,238.94,16.8,38,0,18,20,2,56
1.734,0.0,238.15,7.2,0,0,18,20,5,18
1.452,0.06,246.05,5.8,0,0,19,10,1,19
0.252,0.0,244.3,1.0,0,0,0,1,5,0
1.808,0.146,237.13,7.6,0,0,18,14,2,18
3.388,0.0,236.75,14.4,0,0,18,22,10,18
0.77,0.182,242.18,3.2,0,0,0,29,4,0
3.54,0.19,241.5,14.6,0,0,29,24,11,29
2.762,0.0,240.89,11.4,1,0,0,6,2,1
0.322,0.076,244.92,1.4,0,0,1,23,2,1
2.646,0.066,238.0,11.0,0,0,17,15,12,17
0.304,0.074,236.72,1.2,0,0,0,25,5,0
1.378,0.114,240.66,5.6,0,0,18,24,2,18
2.234,0.0,237.15,9.4,1,0,17,30,3,18
0.822,0.366,240.12,3.8,0,1,9,20,7,10
0.3,0.0,240.65,1.2,0,0,0,9,3,0
0.4,0.136,244.23,1.8,0,1,0,24,4,1
1.328,0.0,239.33,5.4,0,0,18,27,1,18
0.446,0.202,241.5,2.2,0,0,0,22,1,0
0.214,0.0,240.76,0.8,0,0,0,27,2,0
0.496,0.0,238.56,2.0,0,0,0,3,3,0
1.2,0.142,242.95,5.0,0,0,0,29,12,0
1.934,0.182,240.09,8.6,0,2,0,12,12,2
0.41,0.226,241.87,1.8,0,1,1,9,4,2
0.352,0.092,240.61,1.4,0,0,0,30,6,0
1.436,0.084,238.96,6.0,0,0,18,14,5,18
1.282,0.1,238.93,5.4,0,1,18,31,7,19
1.872,0.45,238.12,8.0,0,2,1,3,10,3
0.6,0.064,240.73,2.8,0,0,8,10,9,8
0.21,0.074,245.67,0.8,0,0,0,4,10,0
0.35,0.192,242.16,1.6,0,1,1,5,6,2
3.694,0.178,232.02,15.8,36,0,17,28,5,53
0.24,0.116,240.09,1.0,0,0,1,14,7,1
0.87,0.26,235.22,3.8,0,0,0,4,8,0
3.514,0.0,236.34,14.8,37,0,18,7,11,55
0.462,0.0,228.6,2.2,0,0,0,6,2,0
2.372,0.0,239.2,9.8,0,0,0,16,11,0
0.37,0.19,239.78,1.6,0,0,0,16,6,0
1.784,0.202,233.56,7.6,1,0,17,6,6,18
1.648,0.08,236.58,7.0,0,0,0,4,2,0
0.446,0.102,242.8,2.0,0,0,0,23,1,0
2.588,0.262,234.32,11.0,37,1,0,1,5,38
1.43,0.236,240.31,6.0,0,0,18,29,5,18
1.652,0.214,242.09,6.8,0,0,18,6,2,18
0.91,0.292,242.64,4.0,0,0,0,16,2,0
2.214,0.114,236.47,9.4,1,2,0,18,2,3
1.444,0.112,244.47,5.8,0,0,19,6,4,19
0.218,0.0,238.33,1.0,0,0,0,2,3,0
0.71,0.046,238.85,3.0,0,0,0,4,10,0
0.212,0.06,243.36,0.8,0,0,0,14,3,0
0.398,0.086,241.96,1.8,0,0,1,29,6,1
1.844,0.0,244.64,7.4,0,0,18,7,1,18
2.286,0.108,241.7,9.4,0,0,18,17,1,18
2.712,0.0,241.28,11.2,1,0,19,9,2,20
0.156,0.0,241.84,0.6,0,0,0,28,7,0
0.634,0.368,243.9,3.0,0,2,0,8,4,2
0.14,0.0,240.87,0.6,0,0,1,29,6,1
0.832,0.14,241.25,3.4,0,0,12,4,8,12
1.324,0.0,240.09,5.4,0,0,18,11,5,18
1.518,0.188,238.0,6.4,0,2,17,24,3,19
2.058,0.084,241.52,8.4,0,1,17,12,3,18
2.072,0.092,238.16,8.6,0,0,18,19,12,18
0.48,0.394,242.72,2.6,0,1,0,9,1,1
0.222,0.046,246.48,1.0,0,0,0,21,12,0
3.952,0.64,231.99,17.4,0,0,0,1,5,0
0.568,0.152,242.19,2.6,0,0,1,14,4,1
0.46,0.22,248.79,2.0,0,0,0,6,1,0
1.482,0.0,241.89,6.0,0,0,18,25,10,18
0.604,0.118,242.61,2.4,0,1,1,30,3,2
0.308,0.048,239.19,1.4,0,0,1,8,5,1
1.426,0.084,245.49,5.8,0,0,0,24,3,0
1.452,0.168,243.03,6.0,0,0,18,25,1,18
0.31,0.09,237.21,1.4,0,0,0,15,10,0
1.94,0.098,234.0,8.2,0,0,0,3,2,0
0.566,0.05,237.42,2.4,0,0,0,26,11,0
1.154,0.072,231.3,5.0,0,0,16,8,8,16
0.362,0.218,240.75,1.8,0,0,1,25,5,1
1.656,0.15,235.45,7.0,0,0,0,12,11,0
0.188,0.148,239.62,1.0,0,0,0,8,8,0
0.274,0.0,240.18,1.2,0,0,1,18,4,1
1.598,0.07,241.66,6.6,0,0,1,30,10,1
0.216,0.0,241.0,0.8,0,0,0,14,4,0
2.454,0.052,234.85,10.4,0,0,17,22,11,17
1.526,0.066,239.37,6.4,0,0,0,24,1,0
0.206,0.05,236.96,0.8,0,0,0,30,5,0
1.258,0.354,243.31,5.4,1,1,12,7,9,14
0.078,0.0,238.48,0.2,0,0,1,6,8,1
1.55,0.174,239.68,6.4,0,1,0,26,2,1
0.418,0.228,243.28,1.8,0,0,0,31,12,0
0.242,0.13,241.72,1.2,0,0,0,13,7,0
0.358,0.108,240.99,1.4,0,0,1,8,10,1
0.33,0.056,246.16,1.4,0,0,0,10,1,0
0.75,0.076,244.72,3.0,0,2,0,16,2,2
0.112,0.0,239.07,0.4,0,0,0,13,6,0
2.93,0.284,241.72,12.2,1,0,18,16,2,19
0.306,0.214,243.82,1.4,0,1,1,18,7,2
0.388,0.122,242.43,1.8,0,0,1,19,4,1
0.312,0.06,244.02,1.2,0,0,0,18,2,0
2.204,0.064,238.3,9.2,0,0,18,26,10,18
0.252,0.082,242.29,1.2,0,1,0,4,7,1
2.944,0.076,236.63,12.4,0,0,17,15,3,17
0.412,0.088,245.3,1.8,0,0,0,6,3,0
0.178,0.158,243.11,0.8,0,0,1,18,8,1
0.894,0.3,242.56,3.8,0,0,11,10,9,11
0.156,0.0,238.49,0.6,0,0,0,19,5,0
1.78,0.156,240.14,7.4,0,0,19,26,9,19
0.438,0.076,241.61,1.8,0,0,0,17,7,0
0.408,0.076,243.7,1.6,0,0,0,19,2,0
0.352,0.234,240.27,1.6,0,0,1,14,6,1
1.72,0.264,237.92,7.2,0,0,12,10,5,12
1.384,0.0,248.74,5.6,0,0,0,21,12,0
0.274,0.08,241.07,1.2,0,1,1,4,10,2
1.64,0.334,240.8,6.8,0,2,18,8,6,20
1.16,0.0,244.95,4.8,0,3,1,8,7,4
1.572,0.352,241.99,6.6,0,1,19,10,11,20
1.378,0.0,236.43,5.8,0,0,18,17,1,18
1.706,0.082,238.22,7.2,0,0,18,9,9,18
2.486,0.046,239.65,10.4,0,0,18,23,11,18
1.438,0.11,242.9,5.8,0,0,18,14,3,18
1.696,0.112,242.69,7.0,1,0,18,4,4,19
1.352,0.082,240.86,5.6,0,0,18,4,9,18
0.42,0.38,239.75,2.2,0,1,1,22,6,2
3.338,0.166,237.38,14.4,35,1,18,1,10,54
1.182,0.0,238.44,4.8,0,0,18,22,6,18
1.832,0.218,237.89,7.6,0,0,18,13,6,18
0.978,0.252,245.89,4.0,0,0,0,16,1,0
0.252,0.0,240.71,1.0,0,0,0,26,4,0
1.258,0.474,239.4,5.6,0,2,11,13,10,13
2.292,0.054,239.07,9.6,1,0,18,15,11,19
2.7,0.24,243.44,11.2,0,0,19,8,1,19
0.31,0.118,249.27,1.2,0,0,0,25,12,0
1.456,0.13,242.27,6.0,0,2,18,24,3,20
0.892,0.54,240.47,4.4,1,1,0,14,6,2
0.346,0.08,240.96,1.4,0,0,1,17,4,1
2.092,0.208,237.37,8.8,0,1,18,7,6,19
0.258,0.142,242.08,1.2,0,0,1,26,7,1
2.346,0.078,238.89,10.2,0,0,18,17,4,18
0.412,0.218,237.53,1.8,0,1,0,4,5,1
2.12,0.284,243.7,8.6,0,0,19,11,11,19
0.346,0.228,242.26,1.6,0,2,1,23,8,3
0.208,0.054,243.71,0.8,0,0,0,25,12,0
0.596,0.118,246.1,2.6,0,0,0,16,3,0
0.222,0.0,240.59,1.0,0,0,0,5,11,0
0.158,0.0,243.45,0.6,0,0,1,24,5,1
0.308,0.062,240.38,1.2,0,0,0,1,1,0
0.18,0.0,237.83,1.0,0,0,1,26,5,1
1.648,0.0,241.61,6.8,0,0,18,30,11,18
0.436,0.216,241.91,2.0,0,0,0,20,4,0
0.68,0.046,246.69,2.8,0,0,0,13,12,0
0.828,0.166,239.88,3.8,0,0,5,12,7,5
0.322,0.056,241.78,1.4,0,0,0,13,12,0
0.59,0.294,240.67,2.6,2,1,1,16,4,4
1.614,0.094,242.37,6.6,0,0,19,5,3,19
4.306,0.152,236.92,18.2,0,0,17,10,2,17
0.678,0.224,240.22,3.0,0,0,0,27,12,0
0.328,0.0,235.97,1.4,0,1,0,26,5,1
0.334,0.212,241.43,1.6,0,2,1,25,7,3
0.402,0.114,241.3,1.6,0,0,1,4,7,1
0.274,0.094,245.9,1.2,0,2,0,25,3,2
0.242,0.126,240.01,1.0,0,0,0,22,7,0
0.34,0.214,243.43,1.6,0,0,1,6,6,1
0.294,0.192,237.26,1.4,0,0,0,7,5,0
0.384,0.3,240.02,2.0,0,1,0,5,9,1
0.966,0.332,241.56,4.2,0,0,12,28,6,12
1.446,0.0,240.99,6.0,0,0,18,8,10,18
0.218,0.0,245.05,0.8,0,0,0,22,3,0
0.184,0.0,244.46,0.8,0,0,0,16,9,0
0.498,0.168,236.26,2.2,0,0,0,7,10,0
0.312,0.086,245.02,1.2,0,0,0,30,11,0
0.306,0.0,240.56,1.4,0,0,1,7,9,1
2.532,0.0,233.93,10.8,36,0,0,7,6,36
1.576,0.22,246.81,6.4,0,0,19,18,1,19
0.338,0.102,243.51,1.4,0,0,1,1,5,1
1.61,0.176,235.72,6.8,0,0,17,7,10,17
0.252,0.0,244.02,1.0,0,0,1,19,10,1
0.532,0.272,238.28,2.8,0,0,5,11,8,5
2.102,0.382,237.98,9.0,0,0,29,28,6,29
1.548,0.062,240.99,6.4,0,2,19,7,10,21
1.426,0.06,245.54,7.2,0,0,0,24,12,0
0.762,0.0,241.78,3.2,0,0,0,6,2,0
0.324,0.102,242.95,1.4,0,0,0,20,6,0
2.33,0.0,237.64,10.0,0,0,18,13,9,18
2.184,0.244,239.94,9.2,0,1,1,9,12,2
1.35,0.172,238.05,5.6,0,2,18,12,6,20
0.25,0.108,242.03,1.0,0,2,1,22,7,3
0.424,0.104,240.79,1.8,0,0,1,26,11,1
0.376,0.208,242.71,1.8,0,0,0,24,8,0
0.332,0.21,241.99,1.6,0,1,0,4,7,1
1.428,0.184,239.54,6.0,0,1,19,4,9,20
0.146,0.0,233.56,0.6,0,0,0,8,5,0
2.162,0.182,238.15,9.0,0,1,18,7,6,19
0.178,0.0,241.18,0.8,0,0,1,17,6,1
1.59,0.25,237.83,6.8,0,0,0,31,12,0
0.238,0.106,242.26,1.0,0,0,0,11,7,0
0.156,0.0,243.04,0.6,0,0,1,7,7,1
0.24,0.07,240.01,1.0,0,0,0,5,7,0
1.504,0.106,242.51,6.2,0,0,19,29,11,19
0.264,0.104,239.04,1.2,0,0,1,5,7,1
1.256,0.066,239.47,5.2,0,0,17,18,2,17
1.416,0.088,241.31,5.8,0,1,18,20,4,19
1.614,0.0,242.05,6.6,0,0,18,18,12,18
0.352,0.104,239.94,1.4,0,1,1,24,7,2
0.438,0.256,242.06,2.0,0,2,1,21,5,3
0.652,0.0,232.88,3.2,0,2,0,27,5,2
0.358,0.244,242.37,1.8,0,0,1,28,8,1
0.308,0.116,244.35,1.2,0,0,0,31,10,0
0.292,0.234,241.94,1.4,0,0,0,21,6,0
0.298,0.26,238.7,1.6,0,0,0,15,8,0
0.318,0.114,240.34,1.4,0,0,0,8,12,0
1.834,0.0,246.92,7.4,0,0,20,13,12,20
1.886,0.08,242.11,7.8,0,0,18,29,1,18
0.248,0.0,244.95,1.0,0,0,0,27,12,0
1.482,0.29,234.57,6.4,0,2,17,1,6,19
0.5,0.244,242.54,2.2,0,2,1,17,4,3
0.676,0.0,240.71,2.8,0,0,1,18,7,1
1.334,0.07,245.83,5.4,0,0,0,25,1,0
0.292,0.198,232.84,1.4,0,0,0,25,7,0
0.358,0.122,243.91,1.6,0,0,1,7,12,1
1.46,0.09,244.65,5.8,0,0,19,12,2,19
2.274,0.194,242.72,9.4,0,1,19,15,7,20
0.224,0.122,240.51,1.0,0,1,1,28,8,2
1.468,0.12,240.15,6.0,0,0,18,24,4,18
2.62,0.19,243.77,10.8,0,19,20,13,4,39
1.226,0.0,242.03,5.0,0,0,18,5,9,18
0.496,0.126,243.39,2.6,0,0,2,22,4,2
1.132,0.0,240.55,4.8,0,0,0,1,12,0
0.408,0.124,242.49,1.8,0,0,1,2,5,1
0.216,0.12,243.71,1.0,0,1,1,1,6,2
0.774,0.19,240.94,3.2,0,2,1,13,4,3
1.364,0.068,241.2,5.6,0,2,18,28,9,20
0.408,0.238,243.21,1.8,0,1,1,16,11,2
3.71,0.1,241.57,15.2,38,0,18,22,12,56
1.338,0.056,238.52,5.6,0,1,18,15,10,19
1.34,0.072,236.57,5.6,0,0,17,11,10,17
0.206,0.052,242.81,0.8,0,0,0,28,10,0
2.1,0.076,240.31,8.8,0,1,18,15,1,19
1.734,0.0,242.48,7.0,1,0,18,11,2,19
1.396,0.112,242.06,5.8,1,0,18,26,8,19
0.324,0.204,237.72,1.6,0,0,1,29,7,1
1.332,0.0,242.63,5.4,0,0,18,27,2,18
0.308,0.054,240.06,1.4,0,0,1,5,9,1
1.162,0.084,240.81,4.8,0,0,1,11,5,1
0.308,0.258,242.78,1.6,0,1,0,14,7,1
0.574,0.41,241.47,2.8,0,2,0,17,4,2
1.8,0.098,238.36,8.2,0,0,21,19,6,21
0.368,0.202,244.46,1.6,0,1,0,18,3,1
2.152,0.134,242.92,9.6,1,29,0,4,3,30
1.616,0.158,242.8,6.6,0,0,19,9,5,19
0.598,0.256,242.53,2.6,0,2,0,9,6,2
0.412,0.0,239.35,1.8,0,0,1,12,4,1
0.252,0.114,241.16,1.2,0,0,1,30,7,1
2.162,0.144,233.38,9.4,0,0,17,1,5,17
0.272,0.066,242.66,1.2,0,0,1,9,6,1
0.224,0.064,243.79,1.2,0,0,1,28,5,1
0.206,0.05,241.23,0.8,0,0,0,22,2,0
0.418,0.108,243.8,1.8,0,1,0,25,3,1
2.68,0.23,240.41,11.2,0,0,17,29,11,17
0.25,0.252,240.11,1.4,0,0,1,11,8,1
0.488,0.244,238.64,2.2,0,1,0,30,3,1
0.526,0.24,237.99,2.4,0,2,0,31,1,2
1.102,0.052,242.93,4.4,0,0,0,20,12,0
0.308,0.0,245.01,1.4,0,0,1,20,5,1
0.53,0.206,240.83,2.4,0,1,1,12,4,2
1.55,0.0,242.58,6.4,0,0,18,14,5,18
1.598,0.36,236.16,7.6,0,2,17,24,6,19
2.246,0.114,239.06,9.4,0,0,29,13,11,29
1.394,0.0,243.78,5.6,0,0,18,7,12,18
1.53,0.3,233.98,6.6,0,2,18,17,5,20
0.428,0.28,244.96,2.0,0,1,1,16,11,2
0.364,0.136,244.12,1.6,0,0,0,1,4,0
0.332,0.214,240.17,1.6,0,0,1,26,6,1
0.378,0.282,239.9,2.0,0,2,0,23,6,2
1.434,0.098,240.24,6.0,0,0,18,4,9,18
1.384,0.082,242.08,5.6,0,0,18,2,2,18
0.104,0.0,241.22,0.4,0,0,0,17,8,0
1.438,0.124,234.2,6.2,0,0,17,1,8,17
2.318,0.108,238.22,9.8,1,0,0,12,2,1
1.418,0.148,239.84,5.8,0,0,19,24,9,19
0.35,0.0,241.54,1.6,0,0,1,7,10,1
1.422,0.068,243.96,5.8,0,1,19,27,10,20
0.274,0.0,239.36,1.2,0,0,0,17,10,0
3.032,0.19,243.18,14.0,0,40,0,9,12,40
0.286,0.08,240.82,1.2,0,0,0,27,2,0
0.326,0.108,236.87,1.4,0,0,1,7,6,1
1.808,0.0,234.24,7.6,0,0,17,1,10,17
2.116,0.0,241.95,8.6,0,0,18,19,12,18
0.42,0.342,240.77,2.2,0,1,1,1,8,2
0.202,0.09,242.7,0.8,0,1,0,11,7,1
1.944,0.116,238.95,8.0,0,0,18,3,5,18
0.414,0.118,247.91,1.8,0,0,1,24,10,1
0.164,0.0,244.58,0.6,0,0,1,28,5,1
0.944,0.0,244.01,4.0,0,0,0,6,11,0
1.368,0.092,239.84,5.8,0,0,0,30,6,0
0.486,0.2,244.41,2.2,0,0,1,19,11,1
2.286,0.102,243.32,9.6,0,0,0,24,12,0
0.16,0.0,243.4,0.6,0,0,0,3,10,0
1.606,0.16,237.73,6.8,0,0,1,10,9,1
0.16,0.0,241.97,0.6,0,0,0,11,6,0
0.216,0.0,240.06,0.8,0,0,0,12,4,0
0.138,0.0,242.28,0.6,0,0,1,4,8,1
0.772,0.152,249.46,3.0,0,0,1,15,1,1
0.332,0.056,247.68,1.4,0,0,0,11,2,0
3.002,0.374,237.01,12.6,1,0,18,8,11,19
1.362,0.072,241.81,5.6,0,2,18,3,4,20
2.036,0.186,234.52,8.6,1,0,17,12,2,18
1.062,0.0,244.27,4.4,0,0,1,26,11,1
0.292,0.08,242.03,1.2,0,0,0,17,9,0
2.014,0.468,237.93,8.8,0,1,7,4,7,8
1.086,0.184,243.13,4.6,0,0,1,10,3,1
0.43,0.334,239.64,2.2,0,2,0,24,6,2
0.666,0.102,240.58,2.8,0,3,0,6,5,3
0.47,0.224,242.21,2.2,0,0,0,14,3,0
0.198,0.134,241.15,1.0,0,0,0,18,8,0
0.956,0.126,242.5,4.0,0,0,1,7,6,1
2.816,0.368,239.02,11.8,38,1,1,5,9,40
2.042,0.0,239.87,8.4,0,1,18,14,9,19
0.396,0.192,237.12,1.8,0,1,0,23,5,1
1.714,0.1,237.96,7.2,0,1,0,13,10,1
1.358,0.092,239.64,5.6,0,0,17,26,3,17
1.834,0.098,239.14,7.6,0,0,18,15,12,18
0.394,0.0,243.83,1.8,0,0,0,3,12,0
1.358,0.21,239.65,5.6,0,2,18,28,8,20
0.514,0.318,241.44,2.4,0,1,1,22,4,2
1.152,0.282,243.23,4.8,0,0,12,19,7,12
1.406,0.076,243.54,5.8,0,0,18,15,1,18
0.34,0.186,241.65,1.6,1,0,1,3,9,2
2.092,0.19,239.54,8.8,0,0,29,7,6,29
0.254,0.114,244.37,1.2,0,1,1,22,7,2
1.784,0.174,239.09,7.4,0,0,18,9,9,18
0.214,0.126,242.33,1.0,0,2,1,5,8,3
0.234,0.112,241.18,1.0,0,0,0,10,7,0
0.25,0.112,243.53,1.0,0,1,0,23,7,1
1.302,0.088,240.77,5.4,0,0,0,14,12,0
0.408,0.214,242.47,1.8,0,2,1,28,10,3
